"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"222",19121,2022-05-09,"Australia","AUS",0.134180165526396,0.00781519711572981,0.212646855033908,0.0123854153973531,36.9
"223",19121,2022-05-09,"Austria","AUT",0.132327796408363,0.00901280920867823,0.213294320451907,0.0145274165194685,37.96
"224",19121,2022-05-09,"Bahamas","BHS",0,0,0,0,46.71
"225",19121,2022-05-09,"Bahrain","BHR",0,0,0,0,11.11
"226",19121,2022-05-09,"Barbados","BRB",0,0,0,0,39.01
"227",19121,2022-05-09,"Belgium","BEL",0.204559899966455,0.014704224637211,0.248222181733351,0.0178427674277527,17.59
"228",19121,2022-05-09,"Benin","BEN",0,0,0,0,13.89
"229",19121,2022-05-09,"Bermuda","BMU",0,0,0,0,16.06
"230",19121,2022-05-09,"Bolivia (Plurinational State of)","BOL",0.0605422695352267,0.0443912948614034,0.0797343204731025,0.0584634464130164,24.07
"231",19121,2022-05-09,"Bosnia and Herzegovina","BIH",0,0,0,0,36.11
"232",19121,2022-05-09,"Brazil","BRA",0.155483449110918,0.0199520096442397,0.219671445480247,0.0281887675109349,29.22
"233",19121,2022-05-09,"Bulgaria","BGR",0,0,0,0,11.11
"234",19121,2022-05-09,"Cameroon","CMR",0,0,0,0,27.78
"235",19121,2022-05-09,"Canada","CAN",0.156548985660938,0.00947372157984363,0.198666225458043,0.0120224893145224,21.2
"236",19121,2022-05-09,"Central African Republic","CAF",0,0,0,0,18.52
"237",19121,2022-05-09,"Chile","CHL",0.132603530861687,0.0181213400268909,0.181648672413269,0.0248237534614943,27
"238",19121,2022-05-09,"China","CHN",0,0,0,0,79.17
"239",19121,2022-05-09,"Colombia","COL",0.0630262325821488,0.037185262386331,0.0808339522664471,0.0476917562990008,22.03
"240",19121,2022-05-09,"Congo","COG",0,0,0,0,37.4
"241",19121,2022-05-09,"Costa Rica","CRI",0,0,0,0,11.11
"242",19121,2022-05-09,"Croatia","HRV",0,0,0,0,5.56
"243",19121,2022-05-09,"Cuba","CUB",0,0,0,0,18.52
"244",19121,2022-05-09,"Cura鑾絘o","CUW",0,0,0,0,15.66
"245",19121,2022-05-09,"Cyprus","CYP",0,0,0,0,39.67
"246",19121,2022-05-09,"Czechia","CZE",0.136165440613835,0.0140363110041161,0.159837352522403,0.0164764772908981,14.81
"247",19121,2022-05-09,"Democratic Republic of the Congo","COD",0,0,0,0,28.7
"248",19121,2022-05-09,"Denmark","DNK",0.189951965372732,0.0160671726216826,0.2136932898782,0.0180753432576022,11.11
"249",19121,2022-05-09,"Dominican Republic","DOM",0,0,0,0,5.56
"250",19121,2022-05-09,"Ecuador","ECU",0.0849373331995108,0.0408655919656108,0.113461572534746,0.0545893560855073,25.14
"251",19121,2022-05-09,"Egypt","EGY",0,0,0,0,40.74
"252",19121,2022-05-09,"El Salvador","SLV",0,0,0,0,28.63
"253",19121,2022-05-09,"Estonia","EST",0,0,0,0,22.32
"254",19121,2022-05-09,"Finland","FIN",0,0,0,0,26.85
"255",19121,2022-05-09,"France","FRA",0.21469086533048,0.0137891169743399,0.264365060128655,0.0169795800693755,18.79
"256",19121,2022-05-09,"Georgia","GEO",0,0,0,0,17.59
"257",19121,2022-05-09,"Germany","DEU",0.216602970444843,0.0143946320012762,0.275226137795226,0.0182905108021299,21.3
"258",19121,2022-05-09,"Ghana","GHA",0,0,0,0,44.88
"259",19121,2022-05-09,"Gibraltar","GIB",0,0,0,0,27.59
"260",19121,2022-05-09,"Greece","GRC",0.148291949634059,0.0168816990173698,0.197907313004216,0.0225299599858131,25.07
"261",19121,2022-05-09,"Greenland","GRL",0,0,0,0,16.52
"262",19121,2022-05-09,"Guadeloupe","GLP",0,0,0,0,18.79
"263",19121,2022-05-09,"Guam","GUM",0,0,0,0,27.96
"264",19121,2022-05-09,"Guatemala","GTM",0.0789161868950217,0.0102968401645769,0.148227248112362,0.0193404210454111,46.76
"265",19121,2022-05-09,"Guyana","GUY",0,0,0,0,25.85
"266",19121,2022-05-09,"Honduras","HND",0,0,0,0,30.73
"267",19121,2022-05-09,"Hungary","HUN",0.186788918627273,0.015233082432984,0.210134906769348,0.017137003524563,11.11
"268",19121,2022-05-09,"Iceland","ISL",0,0,0,0,11.11
"269",19121,2022-05-09,"India","IND",0,0,0,0,37.04
"270",19121,2022-05-09,"Indonesia","IDN",0,0,0,0,44.96
"271",19121,2022-05-09,"Iran (Islamic Republic of)","IRN",0,0,0,0,59.09
"272",19121,2022-05-09,"Ireland","IRL",0.18966529369281,0.0119678413445198,0.213370788269558,0.0134636532169195,11.11
"273",19121,2022-05-09,"Israel","ISR",0.182999643550859,0.0133904553973425,0.222059997028102,0.0162485807515381,17.59
"274",19121,2022-05-09,"Italy","ITA",0.183402474364059,0.0137921336359326,0.2367705581772,0.017805491396763,22.54
"275",19121,2022-05-09,"Jamaica","JAM",0,0,0,0,11.11
"276",19121,2022-05-09,"Japan","JPN",0,0,0,0,45.37
"277",19121,2022-05-09,"Jordan","JOR",0,0,0,0,20.37
"278",19121,2022-05-09,"Latvia","LVA",0,0,0,0,13.89
"279",19121,2022-05-09,"Lebanon","LBN",0,0,0,0,45.32
"280",19121,2022-05-09,"Liberia","LBR",0,0,0,0,42.25
"281",19121,2022-05-09,"Lithuania","LTU",0,0,0,0,11.11
"282",19121,2022-05-09,"Luxembourg","LUX",0.143864456314076,0.0133088741074864,0.190978967627872,0.0176674287899726,24.67
"283",19121,2022-05-09,"Malta","MLT",0,0,0,0,13.89
"284",19121,2022-05-09,"Martinique","MTQ",0,0,0,0,18.79
"285",19121,2022-05-09,"Mexico","MEX",0.173064767808218,0.0222351752792488,0.210004572027931,0.0269811616056896,17.59
"286",19121,2022-05-09,"Monaco","MCO",0,0,0,0,17.59
"287",19121,2022-05-09,"Montenegro","MNE",0,0,0,0,40.46
"288",19121,2022-05-09,"Morocco","MAR",0,0,0,0,47.53
"289",19121,2022-05-09,"Mozambique","MOZ",0,0,0,0,28.7
"290",19121,2022-05-09,"Netherlands","NLD",0.202228304758859,0.0442982824444288,0.23977745406552,0.0525234555897899,15.66
"291",19121,2022-05-09,"New Caledonia","NCL",0,0,0,0,18.79
"292",19121,2022-05-09,"New Zealand","NZL",0,0,0,0,17.06
"293",19121,2022-05-09,"Nigeria","NGA",0.111465554289127,0.0207181697427619,0.173893220419855,0.0323216376642151,35.9
"294",19121,2022-05-09,"Norway","NOR",0.181890141598178,0.0127340191771035,0.204623851499806,0.0143255925043352,11.11
"295",19121,2022-05-09,"Panama","PAN",0,0,0,0,19.57
"296",19121,2022-05-09,"Paraguay","PRY",0,0,0,0,26.85
"297",19121,2022-05-09,"Peru","PER",0.105255678116067,0.0200317333233126,0.176811150875302,0.0336498124026753,40.47
"298",19121,2022-05-09,"Philippines","PHL",0,0,0,0,30.79
"299",19121,2022-05-09,"Poland","POL",0.16759701268361,0.0170705911572287,0.196733199534699,0.0200382570222194,14.81
"300",19121,2022-05-09,"Portugal","PRT",0.2048120278451,0.0134006131838626,0.237849294907792,0.0155622032096883,13.89
"301",19121,2022-05-09,"Puerto Rico","PRI",0.130719822337788,0.0144280388994124,0.181454500746514,0.020027816351211,27.96
"302",19121,2022-05-09,"Qatar","QAT",0,0,0,0,32.65
"303",19121,2022-05-09,"Republic of Korea","KOR",0,0,0,0,14.28
"304",19121,2022-05-09,"Republic of Moldova","MDA",0,0,0,0,11.11
