"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"298",0.901390180099009,1,0,0,0,0.285208527014851,"Netherlands","NLD",19121
"299",0.893224536896131,0.521106872165331,0,0,0,0.212149711359219,"Norway","NOR",19121
"300",0,0,0,0,0,0,"New Zealand","NZL",19121
"301",0,0,0,0,0,0,"Panama","PAN",19121
"302",0.704522713399218,0.4157046241059,0,0,0,0.168034100625768,"Peru","PER",19121
"303",0,0,0,0,0,0,"Philippines","PHL",19121
"304",0.843130705332784,0.38683863920791,0,0,0,0.184495401681104,"Poland","POL",19121
"305",0.797307665938399,0.31726046260141,0,0,0,0.167185219280971,"Puerto Rico","PRI",19121
"306",0.870574828231748,0.661219687118706,0,0,0,0.229769177302568,"Portugal","PRT",19121
"307",0,0,0,0,0,0,"Paraguay","PRY",19121
"308",0,0,0,0,0,0,"Qatar","QAT",19121
"309",0.889468441603871,0.352464251845489,0,0,0,0.186289904017404,"Romania","ROU",19121
"310",0,0,0,0,0,0,"Russian Federation","RUS",19121
"311",0,0,0,0,0,0,"Saudi Arabia","SAU",19121
"312",0,0,0,0,0,0,"Sudan","SDN",19121
"313",0,0,0,0,0,0,"Singapore","SGP",19121
"314",0,0,0,0,0,0,"El Salvador","SLV",19121
"315",0,0,0,0,0,0,"San Marino","SMR",19121
"316",0,0,0,0,0,0,"Serbia","SRB",19121
"317",0,0,0,0,0,0,"Slovakia","SVK",19121
"318",0.8913617994366,0.442281399653138,0,0,0,0.200046479863461,"Slovenia","SVN",19121
"319",0.849019139801881,0.504147684454651,0,0,0,0.20297502363848,"Sweden","SWE",19121
"320",0,0,0,0,0,0,"Thailand","THA",19121
"321",0,0,0,0,0,0,"T鐪塺kiye","TUR",19121
"322",0,0,0,0,0,0,"Ukraine","UKR",19121
"323",0,0,0,0,0,0,"Uruguay","URY",19121
"324",0.80535188469812,0.617508278635861,0,0,0,0.213429024500097,"United States of America","USA",19121
